checkpoint,data,prob,reformat_type
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-18,./data_reformat/CLOZE-version3/forget05_CLOZEv3.json,0.1543682962656021,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-24,./data_reformat/CLOZE-version3/forget05_CLOZEv3.json,0.11287122964859009,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-30,./data_reformat/CLOZE-version3/forget05_CLOZEv3.json,0.08012659847736359,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.22706827521324158,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-6,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.22812628746032715,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-12,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.22058451175689697,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-18,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.19856826961040497,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-24,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.16854535043239594,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_ascent_1e-05_forget05_5/checkpoint-30,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.13630028069019318,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-6,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.22769972681999207,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-12,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.2249540090560913,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-18,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.18853384256362915,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-24,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.1635095179080963,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/grad_diff_1e-05_forget05_5/checkpoint-30,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.16208434104919434,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-6,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.22802163660526276,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-12,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.2212435007095337,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-18,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.19668185710906982,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-24,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.1658015102148056,cloze
/DATA4/abhinav/tofu/paper_models/final_ft_noLORA_5_epochs_inst_lr2e-05_phi_full/checkpoint-625/KL_1e-05_forget05_5/checkpoint-30,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.13316276669502258,cloze
,./data_reformat/CLOZE-version3/retain95_CLOZEv3.json,0.07537306845188141,cloze
,./data_reformat/CLOZE-version3/forget05_CLOZEv3.json,0.05527808889746666,cloze
